Metric,Value
stimulus_emotional_mean,4.988505747126437
stimulus_emotional_median,5.0
stimulus_pos_neg_mean,3.5632183908045976
stimulus_pos_neg_median,4.0
stimulus_suitability_age_mean,3.5714285714285716
stimulus_suitability_age_median,4.0
stimulus_recommended_age_mean,9.618556701030927
stimulus_recommended_age_median,9.0
distraktor_emotional_mean,2.840909090909091
distraktor_emotional_median,3.0
distraktor_pos_neg_mean,3.397727272727273
distraktor_pos_neg_median,4.0
distraktor_suitability_age_mean,3.875
distraktor_suitability_age_median,4.0
distraktor_recommended_age_mean,9.325
distraktor_recommended_age_median,9.0
emotional_vs_pos_neg,-0.20563602252372143
emotional_vs_age_suitability,-0.19475676813714238
pos_neg_vs_age_suitability,0.5920330796458301
emotional_vs_age_recommended,0.2664260823872278
pos_neg_vs_age_recommended,-0.5406530274841084
